num,date_visited,name,state,country,description,date_established,latitude,longtitude,pic,color,icon
1,2018-09-02,Yellowstone,"Wyoming, Montana, Idaho",United States,"Situated on the Yellowstone Caldera, the first national park in the world has vast geothermal areas such as hot springs and geysers, the best-known being Old Faithful and Grand Prismatic Spring. The yellow-hued Grand Canyon of the Yellowstone River has numerous waterfalls, and four mountain ranges run through the park. There are almost 60 mammal species, including the gray wolf, grizzly bear, lynx, bison, and elk.",1872-03-01,44.5716,-110.355,https://nealxun.github.io/Travel_Places/Pictures/007_Yellow_Stone_National_Park.jpg,darkgreen,visited
2,2018-09-03,Grand Teton,Wyoming,United States,"Grand Teton is the tallest mountain in the Teton Range. The park's Jackson Hole valley and reflective piedmont lakes contrast with the tall mountains, which abruptly rise from the sage-covered valley.",1929-02-26,43.9052,-110.3824,https://nealxun.github.io/Travel_Places/Pictures/008_Grand_Teton_National_Park.jpg,darkgreen,visited
3,2019-02-18,Pinnacles,California,United States,"Known for the namesake eroded leftovers of half of an extinct volcano, it is popular for its rock climbing.",2013-01-10,36.4907,-121.18193,https://nealxun.github.io/Travel_Places/Pictures/017_Pinnacles_National_Park.jpg,darkgreen,visited
4,2019-04-27,Yosemite,California,United States,"Yosemite has towering cliffs, waterfalls, and sequoias in a diverse area of geology and hydrology. Half Dome and El Capitan rise from the central glacier-formed Yosemite Valley, as does Yosemite Falls, North America's tallest waterfall. Three Giant Sequoia groves and vast wilderness are home to diverse wildlife.",1890-10-01,37.8231,-119.6195,https://nealxun.github.io/Travel_Places/Pictures/019_Yosemite_National_Park.jpg,darkgreen,visited
5,2019-07-05,Crater Lake,Oregon,United States,"Crater Lake lies in the caldera of Mount Mazama formed 7,700 years ago after an eruption. It is the deepest lake in the United States and is known for its blue color and water clarity. There are two islands in the lake, and, with no inlets or outlets, all water comes through precipitation.",1902-05-22,42.9173,-122.0824,https://nealxun.github.io/Travel_Places/Pictures/021_Crater_Lake_National_Park.jpg,darkgreen,visited
6,2019-07-06,Lassen Volcanic,California,United States,"Lassen Peak, the largest plug dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder dome, and composite. Other than the volcano, which last erupted in 1915, the park has hydrothermal areas, including fumaroles, boiling pools, and steaming ground, heated by molten rock under the peak.",1916-08-09,40.4579,-121.4461,https://nealxun.github.io/Travel_Places/Pictures/022_Lassen_Volcanic_National_Park.jpeg,darkgreen,visited
7,2019-09-01,Grand Canyon,Arizona,United States,"The Grand Canyon, carved out by the Colorado River, is 277 miles (446 km) long, up to 1 mile (1.6 km) deep, and up to 15 miles (24 km) wide. Millions of years of exposure has formed colorful layers of the Colorado Plateau in mesas and canyon walls.",1919-02-26,36.1133,-112.11271,https://nealxun.github.io/Travel_Places/Pictures/025_Grand_Canyon_National_Park.jpg,darkgreen,visited
8,2019-11-28,Joshua Tree,California,United States,"Covering parts of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this is the home of the Joshua tree. Across great elevation changes are sand dunes, dry lakes, rugged mountains, and granite monoliths.",1994-10-31,33.9529,-116.0089,https://nealxun.github.io/Travel_Places/Pictures/029_Joshua_Tree_National_Park.jpeg,darkgreen,visited
9,2019-11-30,Channel Islands,California,United States,"Five of the eight Channel Islands are protected, and half of the park's area is underwater. The islands have a unique Mediterranean ecosystem. They are home to over 2,000 species of land plants and animals, and 145 are unique to them. The islands were originally settled by the Chumash people.",1980-03-05,34.0394,-119.7425,https://nealxun.github.io/Travel_Places/Pictures/031_Channel_Island_National_Park.jpeg,darkgreen,visited
10,2020-10-02,Redwood,California,United States,"This park and the co-managed state parks protect almost half of all remaining Coastal Redwoods, the tallest trees on Earth. There are three large river systems in this very seismically active area, and the 37 miles (60 km) of protected coastline have tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems have varied animal and plant species.",1968-10-02,41.4771,-123.9452,https://nealxun.github.io/Travel_Places/Pictures/033_Redwood_National_Park.jpeg,darkgreen,visited
11,2020-11-23,Arches,Utah,United States,"This site features more than 2,000 natural sandstone arches, including the Delicate Arch. In a desert climate millions of years of erosion have led to these structures, and the arid ground has life-sustaining soil crust and potholes, natural water-collecting basins. Other geologic formations are stone columns, spires, fins, and towers.",1971-11-12,38.77,-109.565,https://nealxun.github.io/Travel_Places/Pictures/034_Arches_National_Park.jpeg,darkgreen,visited
12,2020-11-24,Canyonlands,Utah,United States,"This landscape was eroded into canyons, buttes, and mesas by the Colorado River, Green River, and their tributaries, which divide the park into three districts. There are rock pinnacles and other naturally sculpted rock, as well as artifacts from Ancient Pueblo Peoples.",1964-09-12,38.0252,-109.966,https://nealxun.github.io/Travel_Places/Pictures/035_Canyonlands_National_Park.jpeg,darkgreen,visited
13,2020-11-25,Bryce Canyon,Utah,United States,Bryce Canyon is a giant natural amphitheatre along the Paunsaugunt Plateau. The unique area has hundreds of tall hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.,1928-02-25,37.5548,-112.1967,https://nealxun.github.io/Travel_Places/Pictures/036_Bryce_Canyon_National_Park.jpeg,darkgreen,visited
14,2020-11-26,Zion,Utah,United States,"This geologically unique area has colorful sandstone canyons, high plateaus, and rock towers. Natural arches and exposed formations of the Colorado Plateau make up a large wilderness of four ecosystems.",1919-11-19,37.3,-112.9735,https://nealxun.github.io/Travel_Places/Pictures/037_Zion_National_Park.jpeg,darkgreen,visited
15,2020-11-27,Death Valley,"California, Nevada",United States,"Death Valley is the hottest, lowest, and driest place in the United States. Daytime temperatures have topped 130°F (54°C) and it is home to Badwater Basin, the lowest point in North America. There are canyons, colorful badlands, sand dunes, mountains, and over 1000 species of plants in this graben on a fault line. Further geologic points of interest are salt flats, springs, and buttes.",1994-10-31,36.3027,-116.4117,https://nealxun.github.io/Travel_Places/Pictures/038_Death_Valley_National_Park.jpeg,darkgreen,visited
16,,Acadia,Maine,United States,"Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.",1919-02-26,44.454,-68.0493,,grey,to_be_visited
17,,American Samoa,American Samoa,United States,"The southernmost national park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.",1988-10-31,-11.51741,-161.93011,,grey,to_be_visited
18,,Badlands,South Dakota,United States,"The Badlands are a collection of buttes, pinnacles, spires, and grass prairies. It has the world's richest fossil beds from the Oligocene epoch, and there is wildlife including bison, bighorn sheep, black-footed ferrets, and swift foxes.",1978-11-10,43.6504,-102.4343,,grey,to_be_visited
19,,Big Bend,Texas,United States,"Named for the Bend of the Rio Grande along the US–Mexico border, this park includes a part of the Chihuahuan Desert. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans exist within its borders.",1944-06-12,29.3816,-103.2432,,grey,to_be_visited
20,,Biscayne,Florida,United States,"Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian Manatee, American crocodile, various sea turtles, and peregrine falcon.",1980-06-28,25.442,-80.2619,,grey,to_be_visited
21,,Black Canyon of the Gunnison,Colorado,United States,"The park protects a quarter of the Gunnison River, which has dark canyon walls from the Precambrian era. The canyon has very steep descents, and it is a site for river rafting and rock climbing. The narrow, steep canyon, made of gneiss and schist, is often in shadow, appearing black.",1999-10-21,38.58167,-107.7208,,grey,to_be_visited
22,,Capitol Reef,Utah,United States,The park's Waterpocket Fold is a 100-mile (160 km) monocline that shows the Earth's geologic layers. Other natural features are monoliths and sandstone domes and cliffs shaped like the United States Capitol.,1971-12-18,37.986,-111.144,,grey,to_be_visited
23,,Carlsbad Caverns,New Mexico,United States,"Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican Free-tailed Bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.",1930-05-14,32.1648,-104.4094,,grey,to_be_visited
24,,Congaree,South Carolina,United States,"On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the Eastern US, and the Boardwalk Loop is an elevated walkway through the swamp.",2003-11-10,33.78333,-80.78333,,grey,to_be_visited
25,,Cuyahoga Valley,Ohio,United States,"This park along the Cuyahoga River has waterfalls, hills, trails, and displays about early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures. The park also offers a scenic train ride with various trips available.",2000-10-11,41.20906,-81.55701,,grey,to_be_visited
26,,Denali,Alaska,United States,"Centered around the Mount McKinley, the tallest mountain in North America, Denali is serviced by a single road leading to Wonder Lake. McKinley and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, caribou, and gray wolves.",1917-02-26,63.62165,-149.27258,,grey,to_be_visited
27,,Dry Tortugas,Florida,United States,"The Dry Tortugas on the west end of the Florida Keys are the site of Fort Jefferson, the largest masonry structure in the Western Hemisphere. With most of the park being water, it is the home of coral reefs and shipwrecks and is only accessible by plane or boat.",1992-10-26,24.6384,-81.7862,,grey,to_be_visited
28,,Everglades,Florida,United States,"The Everglades are the largest subtropical wilderness in the United States. This mangrove ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.",1934-05-30,25.4028,-80.8934,,grey,to_be_visited
29,,Gates of the Arctic,Alaska,United States,"This northernmost park protects part of the Brooks Range and has no park facilities. The land is home to Alaska natives, who have relied on the land and caribou for 11,000 years.",1980-12-02,67.64657,-153.2713,,grey,to_be_visited
30,,Glacier,Montana,United States,"Part of Waterton Glacier International Peace Park, this park has 26 remaining glaciers and 130 named lakes under the tall Rocky Mountain peaks. There are historic hotels and a landmark road in this region of rapidly receding glaciers. These mountains, formed by an overthrust, have the world's best sedimentary fossils from the Proterozoic era.",1910-05-11,48.616,-113.8672,,grey,to_be_visited
31,,Glacier Bay,Alaska,United States,"Glacier Bay has numerous tidewater glaciers, mountains, and fjords. The temperate rainforest and the bay are home to grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered by ice, but the glaciers have receded over 65 miles (105 km).",1980-12-02,58.41543,-135.75584,,grey,to_be_visited
32,,Great Basin,Nevada,United States,"Based around Wheeler Peak, the Great Basin has 5,000-year-old bristlecone pines, glacial moraines, and the limestone Lehman Caves. It has some of the country's darkest night skies, and there are animal species including Townsend's big-eared bat, Pronghorn, and Bonneville cutthroat trout.",1986-10-27,38.868,-114.1513,,grey,to_be_visited
33,,Great Sand Dunes,Colorado,United States,"The tallest dunes in North America are up to 750 feet (230 m) tall and neighbor grasslands, shrublands and wetlands. They were formed by sand deposits of the Rio Grande on the San Luis Valley. The park also has alpine lakes, six 13,000-foot mountains, and ancient forests.",2004-09-13,37.75444,-105.55861,,grey,to_be_visited
34,,Great Smoky Mountains,"North Carolina, Tennessee",United States,"The Great Smoky Mountains, part of the Appalachian Mountains, have a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300 km) of trails, including 70 miles (110 km) of the Appalachian Trail. Other activities are fishing, horseback riding, and visiting some of nearly 80 historic structures.",1934-06-15,35.6536,-83.5469,,grey,to_be_visited
35,,Guadalupe Mountains,Texas,United States,"This park has Guadalupe Peak, the highest point in Texas, the scenic McKittrick Canyon full of Bigtooth Maples, part of the Chihuahuan Desert, and a fossilized reef from the Permian.",1966-10-15,31.812,-104.8835,,grey,to_be_visited
36,,Haleakal,Hawaii,United States,"The Haleakal? volcano on Maui has a very large crater with many cinder cones, Hosmer's Grove of alien trees, and the native Hawaiian Goose. The Kipahulu section has numerous pools with freshwater fish. This National Park has the greatest number of endangered species.",1916-08-01,20.71063,-156.21039,,grey,to_be_visited
