num,date,place,state,country,latitude,longtitude,pic,color,note,icon
1,6/2/18,Mystery Spot,California,United States,37.0176,-122.00263,https://nealxun.github.io/Travel_Places/Pictures/001_Mystery_Spot.jpg,springgreen,visited,nature
2,6/13/18,Central Park Duck Bay,California,United States,37.54815,-121.96534,https://nealxun.github.io/Travel_Places/Pictures/002_Central_Park.jpg,springgreen,visited,nature
3,6/23/18,Hakone Gardens,California,United States,37.25229,-122.04159,https://nealxun.github.io/Travel_Places/Pictures/003_Hakone_Garden.jpg,steelblue,visited,city
4,7/14/18,San Francisco,California,United States,37.80798,-122.41778,https://nealxun.github.io/Travel_Places/Pictures/004_San Francisco.jpg,steelblue,visited,city
5,8/4/18,South Lake Tahoe,California,United States,38.94155,-119.97541,https://nealxun.github.io/Travel_Places/Pictures/005_South_Lake_Tahoe.jpg,springgreen,visited,nature
6,8/19/18,Big Basin Redwood State Park,California,United States,37.17284,-122.22142,https://nealxun.github.io/Travel_Places/Pictures/006_Big_Basin_Redwood_State_Park.jpg,springgreen,visited,nature
7,9/2/18,Yellowstone National Park,Wyoming,United States,44.44827,-110.70969,https://nealxun.github.io/Travel_Places/Pictures/007_Yellow_Stone_National_Park.jpg,springgreen,visited,nature
8,9/3/18,Grand Teton National Park,Wyoming,United States,43.79075,-110.71346,https://nealxun.github.io/Travel_Places/Pictures/008_Grand_Teton_National_Park.jpg,springgreen,visited,nature
9,9/23/18,Muri Woods State Park,California,United States,37.89701,-122.58105,https://nealxun.github.io/Travel_Places/Pictures/009_Muri_Wood_State_Park.jpg,springgreen,visited,nature
10,10/6/18,UC Berkley,California,United States,37.87237,-122.25928,https://nealxun.github.io/Travel_Places/Pictures/010_UC_Berkley.jpg,steelblue,visited,city
11,10/13/18,Los Angeles,California,United States,34.0591,-118.21636,https://nealxun.github.io/Travel_Places/Pictures/011_Los_Angeles.jpg,steelblue,visited,city
12,11/10/18,Monterey,California,United States,36.60084,-121.896,https://nealxun.github.io/Travel_Places/Pictures/012_Monterey.jpg,springgreen,visited,nature
13,12/22/18,Las Vegas,Nevada,United States,36.169724,-115.159113,https://nealxun.github.io/Travel_Places/Pictures/013_LasVegas.jpg,steelblue,visited,city
14,12/30/18,Sunol Regional Wilderness,California,United States,37.514682,-121.831273,https://nealxun.github.io/Travel_Places/Pictures/014_Sunol_Regional_Wilderness.jpg,springgreen,visited,nature
15,12/31/18,Milpitas,California,United States,37.418915,-121.925867,https://nealxun.github.io/Travel_Places/Pictures/015_Home_Foodd.jpg,steelblue,visited,city
16,2/10/19,Oracle Arena,California,United States,37.750743,-122.203046,https://nealxun.github.io/Travel_Places/Pictures/016_Oracle_Arena.jpg,steelblue,visited,city
17,2/18/19,Pinnacles National Park,California,United States,36.492061,-121.180559,https://nealxun.github.io/Travel_Places/Pictures/017_Pinnacles_National_Park.jpg,springgreen,visited,nature
18,3/30/19,Carmel,California,United States,36.555262,-121.922981,https://nealxun.github.io/Travel_Places/Pictures/018_Carmel.jpg,springgreen,visited,nature
19,4/27/19,Yosemite National Park,California,United States,37.864509,-119.524965,https://nealxun.github.io/Travel_Places/Pictures/019_Yosemite_National_Park.jpg,springgreen,visited,nature
20,5/26/19,San Diego,California,United States,32.716698,-117.160079,https://nealxun.github.io/Travel_Places/Pictures/020_San_Diego.jpg,steelblue,visited,city
21,7/5/19,Crater Lake National Park,Oregon,United States,42.868964,-122.183115,https://nealxun.github.io/Travel_Places/Pictures/021_Crater_Lake_National_Park.jpg,springgreen,visited,nature
