num,date,place,state,country,latitude,longtitude,pic,color,note,icon
1,6/2/18,Mystery Spot,California,United States,37.0176,-122.00263,https://nealxun.github.io/TravelPlaces/Pictures/MysterySpot2.jpg,springgreen,Visited,nature
2,6/13/18,Central Park Duck Bay,California,United States,37.54815,-121.96534,https://nealxun.github.io/TravelPlaces/Pictures/CentralPark.jpg,springgreen,Visited,nature
3,6/23/18,Hakone Gardens,California,United States,37.25229,-122.04159,https://nealxun.github.io/TravelPlaces/Pictures/HakoneGarden3.jpg,steelblue,Visited,city
4,7/14/18,San Francisco,California,United States,37.80798,-122.41778,https://nealxun.github.io/TravelPlaces/Pictures/SanFrancisco2.jpg,steelblue,Visited,city
5,8/4/18,South Lake Tahoe,California,United States,38.94155,-119.97541,https://nealxun.github.io/TravelPlaces/Pictures/SouthLakeTahoe.jpg,springgreen,Visited,nature
6,8/19/18,Big Basin Redwood State Park,California,United States,37.17284,-122.22142,https://nealxun.github.io/TravelPlaces/Pictures/BigBasinRedwoodStatePark.jpg,springgreen,Visited,nature
7,9/2/18,Yellowstone National Park,Wyoming,United States,44.44827,-110.70969,https://nealxun.github.io/TravelPlaces/Pictures/YellowStoneNationalPark.jpg,springgreen,Visited,nature
8,9/3/18,Grand Teton National Park,Wyoming,United States,43.79075,-110.71346,https://nealxun.github.io/TravelPlaces/Pictures/GrandTetonNationalPark.jpg,springgreen,Visited,nature
9,9/23/18,Muri Woods State Park,California,United States,37.89701,-122.58105,https://nealxun.github.io/TravelPlaces/Pictures/MuriWoodStatePark.jpg,springgreen,Visited,nature
10,10/6/18,UC Berkley,California,United States,37.87237,-122.25928,https://nealxun.github.io/TravelPlaces/Pictures/UCBerkley2.jpg,steelblue,Visited,city
11,10/13/18,Los Angeles,California,United States,34.0591,-118.21636,https://nealxun.github.io/TravelPlaces/Pictures/LosAngeles2.jpg,steelblue,Visited,city
12,11/10/18,Monterey,California,United States,36.60084,-121.896,https://nealxun.github.io/TravelPlaces/Pictures/Monterey.jpg,springgreen,Visited,nature
13,12/22/18,Las Vegas,Nevada,United States,36.169724,-115.159113,https://nealxun.github.io/TravelPlaces/Pictures/LasVegas.jpg,steelblue,Visited,city
14,12/30/18,Sunol Regional Wilderness,California,United States,37.514682,-121.831273,https://nealxun.github.io/TravelPlaces/Pictures/SunolRegionalWilderness2.jpg,springgreen,Visited,nature
15,12/31/18,Milpitas,California,United States,37.418915,-121.925867,https://nealxun.github.io/TravelPlaces/Pictures/HomeFood.jpg,steelblue,Visited,city
16,2/10/19,Oakland,California,United States,37.750743,-122.203046,https://nealxun.github.io/TravelPlaces/Pictures/OracleArena.jpg,steelblue,Visited,city
17,2/18/19,Pinnacles National Park,California,United States,36.492061,-121.180559,https://nealxun.github.io/TravelPlaces/Pictures/PinnaclesNationalPark.jpg,springgreen,Visited,nature
18,3/30/19,Carmel,California,United States,36.555262,-121.922981,https://nealxun.github.io/TravelPlaces/Pictures/Carmel.jpg,springgreen,Visited,nature
19,4/27/19,Yosemite National Park,California,United States,37.864509,-119.524965,https://nealxun.github.io/TravelPlaces/Pictures/YosemiteNationalPark.jpg,springgreen,Visited,nature
20,5/26/19,San Diego,California,United States,32.716698,-117.160079,https://nealxun.github.io/TravelPlaces/Pictures/SanDiego.jpg,steelblue,Visited,city
21,7/5/19,Crater Lake National Park,Oregon,United States,42.868964,-122.183115,https://nealxun.github.io/TravelPlaces/Pictures/CraterLakeNationalPark.jpg,springgreen,Visited,nature
22,7/6/19,Lassen Volcanic National Park,California,United States,40.497894,-121.419355,https://nealxun.github.io/TravelPlaces/Pictures/LassenVolcanicNationalPark.jpeg,springgreen,Visited,nature
23,7/27/19,Golden Gate Bridge,California,United States,37.823387,-122.478489,https://nealxun.github.io/TravelPlaces/Pictures/GoldenGateBridge.jpg,steelblue,Visited,city
24,8/4/19,Napa Valley,California,United States,38.313062,-122.288434,https://nealxun.github.io/TravelPlaces/Pictures/NapaValley.jpg,springgreen,Visited,nature
25,9/1/19,Grand Canyon National Park,Arizona,United States,36.101988,-112.10732,https://nealxun.github.io/TravelPlaces/Pictures/GrandCanyonNationalPark.jpg,springgreen,Visited,nature
26,9/2/19,Horse Shoe Bend,Arizona,United States,36.883607,-111.519092,https://nealxun.github.io/TravelPlaces/Pictures/HorseShoeBend.jpg,springgreen,Visited,nature
27,9/2/19,Antelope Canyon,Arizona,United States,36.905268,-111.40509,https://nealxun.github.io/TravelPlaces/Pictures/AntelopeCanyon.jpg,springgreen,Visited,nature
28,9/15/19,Pinnacles National Park,California,United States,36.492052,-121.18066,https://nealxun.github.io/TravelPlaces/Pictures/PinnaclesNationalPark2.jpeg,springgreen,Visited,nature
29,11/28/19,Joshua Tree National Park,California,United States,33.806538,-115.848083,https://nealxun.github.io/TravelPlaces/Pictures/JoshuaTreeNationalPark.jpeg,springgreen,Visited,nature
30,11/29/19,Staples Center,California,United States,34.043018,-118.267258,https://nealxun.github.io/TravelPlaces/Pictures/StaplesCenter.jpeg,steelblue,Visited,city
31,11/30/19,Channel Island National Park,California,United States,34.005823,-119.7941,https://nealxun.github.io/TravelPlaces/Pictures/ChannelIslandNationalPark.jpeg,springgreen,Visited,nature
